"hash","short","current_subject","suggested_subject","flags"
"0a014f031f01f7aeaacbe99e20713fc30ef6e616","0a014f0","Hardening auth flows, remittance safety nets, and ML guardrails","chore(services): Hardening auth flows, remittance safety nets, and ML gu","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;needs-body(>=150 LOC);possible-breaking-missing-marker"
"0a7d1d161e0e4689298323bdd88621f5ee7eced0","0a7d1d1","feat: add compliance event ingestion and ML scaffolding","chore(services): Add compliance event ingestion and ML scaffolding","docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker"
"0a997b08b4198df77b76d00eb7163901805eaa5e","0a997b0","Hash seed user password","refactor(scripts): Hash seed user password","docs-claimed-mismatch;code-changes-look-like-refactor"
"0c968033c7c5fc91bbc62a48046ecbd66fc0da61","0c96803","Add compliance event ingestion pipeline","feat(services): Add compliance event ingestion pipeline","docs-claimed-mismatch;needs-body(>=150 LOC);possible-breaking-missing-marker"
"0cb8f89ea575c7cd1511197335b7fe06f8ce78df","0cb8f89","feat(banking): provider adapters + designated one-way account policy engine","chore(banking): Provider adapters + designated one-way account policy en","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=banking vs dir=providers);possible-breaking-missing-marker"
"0cdbd7b10392624ed29fc447d0a21f4089f76c75","0cdbd7b","feat(webapp): add app shell layout","feat(webapp)(webapp): Add app shell layout","subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=webapp vs dir=apps)"
"0d4fc2023026149955300eae351790b5dc23b0ec","0d4fc20","fix: use portable ledger test script","chore(packages): Use portable ledger test script","deps-looks-like-chore;subject-not-capitalized;fix-no-issue-ref;scope-mismatch(scope= vs dir=packages)"
"10afe8ff2a6a9e4e830399218a084c38356427da","10afe8f","feat(auth): MFA (WebAuthn/TOTP) + end-to-end encryption envelopes","chore(auth): MFA (WebAuthn/TOTP) + end-to-end encryption envelopes","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=auth vs dir=services);possible-breaking-missing-marker"
"10de99f1e638435c1403f7d51e27ddbe0ad55ee5","10de99f","Fix threshold selection to use validation split","refactor(apgms-ml): Fix threshold selection to use validation split","code-changes-look-like-refactor"
"10e9fb715e37c4e2aa23704136247ff9d2a1ce43","10e9fb7","chore(ops): add debug export tooling and tighten gateway/admin handling","feat(ops): Add debug export tooling and tighten gateway/admin handling","code-additions-look-like-feat;subject-not-capitalized;scope-mismatch(scope=ops vs dir=services);possible-breaking-missing-marker"
"11ce9566e565e1a42f6e29c36d394cb03e90d45e","11ce956","chore(deps): refresh pnpm lockfile after security hardening","chore(deps)(deps): Refresh pnpm lockfile after security hardening","subject-not-capitalized;scope-mismatch(scope=deps vs dir=pnpm-lock.yaml)"
"12b9a469b91f3e503539bdb7e3a10a1e6bad8899","12b9a46","Add compliance governance runbooks and DSP checklist","docs(runbooks): Add compliance governance runbooks and DSP checklist","docs-claimed-mismatch"
"13213fbf8265ab5203e8e0759dd1418c12507527","13213fb","Add CSP meta and CI-friendly accessibility checks","feat(webapp): Add CSP meta and CI-friendly accessibility checks","test-claimed-mismatch"
"13ff6063249d400f6c0cac137d75323f20cfea85","13ff606","tests(payg): repo-relative normalizer + resolver scaling checks + CSV artifact","tests(payg)(payg): Repo-relative normalizer + resolver scaling checks +","subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=payg vs dir=tests)"
"1453d0fc0173f56b24b59a981d693cfdc35c0aab","1453d0f","Document patent governance alignment and security attestations","docs(runbooks): Document patent governance alignment and security attest","docs-claimed-mismatch"
"15022887b8b9d489a7799fce96488d1548f481e8","1502288","feat(compliance): add designated holding accounts and surface balances in API/UI","feat(compliance)(compliance): Add designated holding accounts and surfac","subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=compliance vs dir=webapp);possible-breaking-missing-marker"
"156dab5fca58f49c5e7ac534752d99b994af04b7","156dab5","feat: add connectors tax adapters","feat(services): Add connectors tax adapters","test-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker"
"15ded03b96481b351635139574ecf47d366d5fde","15ded03","Add analytics common utilities","feat(common): Add analytics common utilities","code-additions-look-like-feat;needs-body(>=150 LOC)"
"15f5f71dfa0fe0e5b607acb9cc124ddc91c5592a","15f5f71","Add environment template and secrets documentation","chore: Add environment template and secrets documentation","docs-claimed-mismatch"
"174f1ebfbc75c5576d2a548eaee2e38ff2b4ef90","174f1eb","chore(audit): capture working tree and diff snapshot","chore(audit)(audit): Capture working tree and diff snapshot","subject-not-capitalized;scope-mismatch(scope=audit vs dir=artifacts)"
"1939749bbf7718c074c2b9c85bfe96c224831514","1939749","feat(ops): Prometheus /metrics + OTEL traces + readiness (deps) + graceful shutdown","chore(ops): Prometheus /metrics + OTEL traces + readiness (deps) + grace","deps-looks-like-chore;subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=ops vs dir=services);possible-breaking-missing-marker"
"19adfb0d8abf0a2d7742caeb033a1109df9ec82e","19adfb0","Use sync handlers for scoring endpoints","refactor(apgms-ml): Use sync handlers for scoring endpoints","code-changes-look-like-refactor"
"19d61567d0d381033d36a85dead7151b936bb3f5","19d6156","feat(webapp): add shared formatting utilities","feat(webapp)(webapp): Add shared formatting utilities","subject-not-capitalized"
"1a75b5f64af0b398291cba0a89af82c088a845ae","1a75b5f","chore(db): commit Prisma migrations","chore(db)(db): Commit Prisma migrations","subject-not-capitalized;scope-mismatch(scope=db vs dir=shared)"
"1ab41a709083ae77aeda6d8bb56f5db8c597c25c","1ab41a7","chore(infra): initial hardening pass across gateway, webapp, and compose","chore(infra)(infra): Initial hardening pass across gateway, webapp, and","test-claimed-mismatch;subject-not-capitalized;scope-mismatch(scope=infra vs dir=services);possible-breaking-missing-marker"
"1b833504b74f6cceb4af6a68fe2590299e1d5405","1b83350","feat: integrate partner banking APIs and BAS orchestration","feat(providers): Integrate partner banking APIs and BAS orchestration","test-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=providers);possible-breaking-missing-marker"
"1bc583968a580df5549a68cb6d4d9da0ede214e7","1bc5839","harden auth to rs256 and argon2","feat(services): Harden auth to rs256 and argon2","docs-claimed-mismatch;test-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);possible-breaking-missing-marker"
"1bd4572b638e712d9ccd522f987897e2c1577938","1bd4572","chore(security): refresh pnpm lockfile after security hardening","chore(security)(security): Refresh pnpm lockfile after security hardenin","subject-not-capitalized;scope-mismatch(scope=security vs dir=pnpm-lock.yaml)"
"1d9c29cbeb045ddf1a0bebd36a56fbc8d9721a30","1d9c29c","feat(security+privacy): introduce auth layer, data protection, and compliance updates","chore(security+privacy): Introduce auth layer, data protection, and comp","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;subject>72;subject-not-capitalized;scope-mismatch(scope=security+privacy vs dir=services);possible-breaking-missing-marker"
"1df5882f4d5efc623527099729b7acd31b37c589","1df5882","Fix workspace install and restore cross-platform builds","chore(services): Fix workspace install and restore cross-platform builds","test-claimed-mismatch;deps-looks-like-chore;needs-body(>=150 LOC);possible-breaking-missing-marker"
"1e0a0b1135eb2a482fbb1969dfb9ad8e5cebbc98","1e0a0b1","chore(repo): normalize line endings / cross-platform script behavior","chore(repo)(repo): Normalize line endings / cross-platform script behavi","subject-not-capitalized;scope-mismatch(scope=repo vs dir=package.json)"
"1e49d3637dd674ad5605b59645a4091e7f46a131","1e49d36","chore(dev): local Postgres + migrations synced; seed OK","chore(dev)(dev): Local Postgres + migrations synced; seed OK","subject-not-capitalized;scope-mismatch(scope=dev vs dir=scripts)"
"1ea0f5df39f8e56cf9483c8e01b9d90b360e5cce","1ea0f5d","feat(db): add BankLine.idempotencyKey and unique (orgId, idempotencyKey)","feat(db)(db): Add BankLine.idempotencyKey and unique (orgId, idempotency","subject-not-capitalized;scope-mismatch(scope=db vs dir=shared)"
"1ea5d0190afbbc63edd641ba632ce584856ed5f3","1ea5d01","chore: guard ledger lint script when eslint missing","chore(packages): Guard ledger lint script when eslint missing","subject-not-capitalized;scope-mismatch(scope= vs dir=packages)"
"1ed53c7e178cbc8362778191a5c1b08eff0b3773","1ed53c7","feat(api-gateway): add helmet, strict CORS, and CSP headers","feat(api-gateway)(api-gateway): Add helmet, strict CORS, and CSP headers","test-claimed-mismatch;subject-not-capitalized;scope-mismatch(scope=api-gateway vs dir=services);possible-breaking-missing-marker"
"1ff2a15615a7938c123925d5e4089b9fb5edc671","1ff2a15","feat(webapp): add card and table UI primitives","feat(webapp)(webapp): Add card and table UI primitives","subject-not-capitalized;needs-body(>=150 LOC)"
"216021222e634aa41506227cf805512f121b6850","2160212","chore(ops): add dependency monitoring and evidence collection workflow","chore(ops)(ops): Add dependency monitoring and evidence collection workf","docs-claimed-mismatch;subject-not-capitalized;scope-mismatch(scope=ops vs dir=docs)"
"2168250b4376e4a8c6ce0711fc2b98b55d4322b2","2168250","Add JWT auth middleware and update routes","feat(services): Add JWT auth middleware and update routes","test-claimed-mismatch;needs-body(>=150 LOC);possible-breaking-missing-marker"
"2273985b9e4b6745dc27c98f8427fae9a9f8c996","2273985","feat(webapp): add PAYGW variance flow manager","feat(webapp)(webapp): Add PAYGW variance flow manager","subject-not-capitalized;needs-body(>=150 LOC)"
"2510da6df549a3251b562710f15f694bd585f3f7","2510da6","Update CI and security workflows","ci(github): Update CI and security workflows","needs-body(>=150 LOC)"
"252f0102a8a459976c47e3bd7d502336e20b57d5","252f010","chore(repo): update .gitignore to exclude local helper script","chore(repo)(repo): Update .gitignore to exclude local helper script","subject-not-capitalized;scope-mismatch(scope=repo vs dir=gitignore)"
"257a2be65627322bb7b49f1ab6151c76457d649c","257a2be","chore(dev-db): update seed script for local Postgres bootstrap","chore(dev-db)(dev-db): Update seed script for local Postgres bootstrap","subject-not-capitalized;scope-mismatch(scope=dev-db vs dir=scripts)"
"261e48f2caa9be1161e61e3070a6e6ba2467f4e7","261e48f","Fix telemetry stack and add AU validation package","chore(packages): Fix telemetry stack and add AU validation package","deps-looks-like-chore;code-additions-look-like-feat;needs-body(>=150 LOC);possible-breaking-missing-marker"
"26f75ba71d2ce0b9ef119f046c32cae8d97b16ba","26f75ba","fix: allow osv scan severity filtering","fix(github): Allow osv scan severity filtering","subject-not-capitalized;fix-no-issue-ref;scope-mismatch(scope= vs dir=github)"
"2760330f2870067e43aa4ccfd8561d8db971a04b","2760330","chore(api): lockfile + deps; test: add /ready probe specchore(api): update deps/lockfile and align gateway tests for /ready probe","chore(api)(api): Lockfile + deps; test: add /ready probe specchore(api):","subject>72;subject-not-capitalized;scope-mismatch(scope=api vs dir=services)"
"27db1736e25adf64767f39e34583a584b6c2610b","27db173","fix: correct worm provider import paths","refactor(services): Correct worm provider import paths","code-changes-look-like-refactor;subject-not-capitalized;fix-no-issue-ref;scope-mismatch(scope= vs dir=services)"
"287253ff3a3227e91ae9f2f8a031303dd51776e7","287253f","chore(ops): define alerting and align gateway behavior with runbook","chore(ops)(ops): Define alerting and align gateway behavior with runbook","docs-claimed-mismatch;subject-not-capitalized;scope-mismatch(scope=ops vs dir=docs)"
"28d94f33d9b718fb6212fe60d36092a97ef56124","28d94f3","feat: add integration connectors, remittance jobs, and audit tracking","feat(services): Add integration connectors, remittance jobs, and audit t","docs-claimed-mismatch;test-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker"
"29159f8518e946a126f557e81d18512ac9c0d376","29159f8","refactor(api-gateway): extract server entrypoint and update ops runbook","chore(api-gateway): Extract server entrypoint and update ops runbook","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;scope-mismatch(scope=api-gateway vs dir=services);possible-breaking-missing-marker"
"295dbbb705f621f3713b11ef1ca9eff990661067","295dbbb","Add readiness, metrics, and graceful shutdown for API gateway","chore(services): Add readiness, metrics, and graceful shutdown for API g","deps-looks-like-chore;code-additions-look-like-feat;needs-body(>=150 LOC);possible-breaking-missing-marker"
"2b7dcc1b9a03175f1eb4b4842f94b661d7aa11f3","2b7dcc1","feat(webapp): add mocked api layer and loading states","feat(webapp)(webapp): Add mocked api layer and loading states","subject-not-capitalized;needs-body(>=150 LOC);possible-breaking-missing-marker"
"2b9115e05b9979b6e596eeee0788a3bf626271da","2b9115e","Add CSP, compliance evidence, and dependency automation","feat: Add CSP, compliance evidence, and dependency automation","docs-claimed-mismatch;code-additions-look-like-feat"
"2b94a94410f506f637d8e0b6daa83a13ae99709d","2b94a94","Add orchestration scripts for ML workflows","chore(apgms-ml): Add orchestration scripts for ML workflows","needs-body(>=150 LOC)"
"2bd3a23641bbf65d9bc84a88cf75a6d749271367","2bd3a23","feat: add risk event ingestion pipeline","feat(services): Add risk event ingestion pipeline","docs-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker"
"2bd8f513d8bf18867b8af48df7a9b117170a6efc","2bd8f51","Implement reconciliation inference service","chore(services): Implement reconciliation inference service","docs-claimed-mismatch;deps-looks-like-chore;code-additions-look-like-feat;needs-body(>=150 LOC);possible-breaking-missing-marker"
"2be1defa1b1b346dd5723367d39e628314751c21","2be1def","Document security controls and operational runbooks","docs(runbooks): Document security controls and operational runbooks","docs-claimed-mismatch;needs-body(>=150 LOC)"
"2c23cdfd62fe81d83f19546cd724b1f813326d1b","2c23cdf","Fix recon contract barrel extension","refactor(shared): Fix recon contract barrel extension","code-changes-look-like-refactor"
"2c44e9ac74d7c5c6eafef6ecd0eafc8eb34dedb4","2c44e9a","Add Prisma drift detection job","ci(github): Add Prisma drift detection job","needs-body(>=150 LOC)"
"2c59e818e0d32731d216bd4e192b4518d2d18cbb","2c59e81","test(a11y+ux): Playwright+axe + Discrepancy Journal & Plan/Remission Pack generator","test(a11y+ux)(a11y+ux): Playwright+axe + Discrepancy Journal & Plan/Remi","docs-claimed-mismatch;subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=a11y+ux vs dir=webapp)"
"2c9d9b99ac54001bb770d2718960ee3993878de2","2c9d9b9","Automate ML retraining and tighten retention controls","chore(services): Automate ML retraining and tighten retention controls","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;needs-body(>=150 LOC);possible-breaking-missing-marker"
"2d4708ecc02b968b3b9938d4f1eb55f3384587a7","2d4708e","feat(api-gateway): add org-scoped jwt auth guards","chore(api-gateway): Add org-scoped jwt auth guards","test-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=api-gateway vs dir=services);possible-breaking-missing-marker"
"2e2b1d3aa8610a7fbc8df125191ce42600031d9a","2e2b1d3","feat(api-gateway): add bank line validation and idempotency","feat(api-gateway)(api-gateway): Add bank line validation and idempotency","test-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=api-gateway vs dir=services);possible-breaking-missing-marker"
"302a91a1c1ac6814fe13067f7abcff60ea80c585","302a91a","chore(test): refresh pnpm lockfile and install Playwright browsers for e2e","chore(test)(test): Refresh pnpm lockfile and install Playwright browsers","subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=test vs dir=pnpm-lock.yaml)"
"3053c383f0f467068aac0ff62369de668dec0c4a","3053c38","chore: line-ending normalization","chore(package.json): Line-ending normalization","subject-not-capitalized;scope-mismatch(scope= vs dir=package.json)"
"3156f774b9cdad4fe474b6f3e982560589bcec18","3156f77","feat(payg): normalization and resolver tests; CSV artifact and CI workflow","chore(payg): Normalization and resolver tests; CSV artifact and CI workf","test-claimed-mismatch;deps-looks-like-chore;subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=payg vs dir=tools)"
"3172ce7d7c9d5c48ac29704f5e986ffc1ad2269b","3172ce7","feat(webapp): add status badge component","refactor(webapp): Add status badge component","code-changes-look-like-refactor;subject-not-capitalized"
"3305bef39242ec35b2d3b931f4aaa0a2d4e9628a","3305bef","chore(root): add prisma db scripts (migrate/deploy/gen) to workspace","chore(root)(root): Add prisma db scripts (migrate/deploy/gen) to workspa","subject-not-capitalized;scope-mismatch(scope=root vs dir=package.json)"
"34fc4bfb276f47ed7ceada222eef73607dac5fd0","34fc4bf","Handle JetStream stream already exists error","refactor(services): Handle JetStream stream already exists error","code-changes-look-like-refactor"
"352c7a0a266bcc5014bc456b260bdcdbe8081332","352c7a0","Document security controls and status operations","docs(runbooks): Document security controls and status operations","docs-claimed-mismatch"
"35886caee73cf3650fa4097359040f15b970f92f","35886ca","Add CORS allowlist and helmet security headers","chore(services): Add CORS allowlist and helmet security headers","deps-looks-like-chore;code-additions-look-like-feat;possible-breaking-missing-marker"
"36163bfec6d610e6f5467b0bb85cffd4888b3b99","36163bf","ci: guard merge markers and setup from repo root","chore(github): Guard merge markers and setup from repo root","deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=github)"
"3639a07c271fad435fc22fcf773f5a55f773ca3e","3639a07","chore(audit): capture staged diff and last commit metadata","chore(audit)(audit): Capture staged diff and last commit metadata","subject-not-capitalized;scope-mismatch(scope=audit vs dir=artifacts)"
"366864bd4e4b658c3f500328d9851c626b12d0b9","366864b","feat(webapp): extend tailwind theme for finance ui","feat(webapp)(webapp): Extend tailwind theme for finance ui","subject-not-capitalized;scope-mismatch(scope=webapp vs dir=apps)"
"36686f594a31bd09ca568a97923be02f130e5e53","36686f5","feat(webapp): add AppShell layout and new dashboards","feat(webapp)(webapp): Add AppShell layout and new dashboards","subject-not-capitalized;needs-body(>=150 LOC)"
"37233085245764dda574ff8c26294dc201da7ce1","3723308","Add GST-free model training and evaluation scripts","feat(apgms-ml): Add GST-free model training and evaluation scripts","code-additions-look-like-feat;needs-body(>=150 LOC)"
"38866dca29f63eeae96a2a0493129c64aae47831","38866dc","feat(compliance): enable payment plan flow and evidence reporting","feat(compliance)(compliance): Enable payment plan flow and evidence repo","subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=compliance vs dir=webapp);possible-breaking-missing-marker"
"38f9b867b7b505f35d0b1cd2fa18e2c58f53d5a5","38f9b86","chore(security): ignore infra/prisma/.env in git","chore(security)(security): Ignore infra/prisma/.env in git","subject-not-capitalized;scope-mismatch(scope=security vs dir=gitignore)"
"39142c1c0f72d68c789f5eaa1ae4bfb7590c0abc","39142c1","chore(compliance): add compliance checklist and wire it into workspace","chore(compliance)(compliance): Add compliance checklist and wire it into","docs-claimed-mismatch;subject-not-capitalized;scope-mismatch(scope=compliance vs dir=package.json)"
"3aa5dfe474540486b81a804bf5b50c74eb57a051","3aa5dfe","Improve workflow alerts accessibility","feat(webapp): Improve workflow alerts accessibility","test-claimed-mismatch"
"3ac003c46cdf5ea13b7e99b60733cedaa80b1ee2","3ac003c","Document security procedures and enable dependabot","ci: Document security procedures and enable dependabot","docs-claimed-mismatch"
"3b93dcb9abc9f03978e8c13403fb1daffdb20a9f","3b93dcb","feat(auth): wire end-to-end login/session between webapp and api-gateway","chore(auth): Wire end-to-end login/session between webapp and api-gatewa","deps-looks-like-chore;subject-not-capitalized;scope-mismatch(scope=auth vs dir=services);possible-breaking-missing-marker"
"3c0df7a68dfedff959d7f1ffe7d2de461d35625e","3c0df7a","chore(ci): verify slsa provenance","feat(ci): Verify slsa provenance","docs-claimed-mismatch;code-additions-look-like-feat;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=ci vs dir=github)"
"3d2fe120a95d87c42bcbe91b3e407f16ff1e3ffd","3d2fe12","feat(banking): provider adapters + designated one-way account policy engine","chore(banking): Provider adapters + designated one-way account policy en","docs-claimed-mismatch;test-claimed-mismatch;deps-looks-like-chore;subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=banking vs dir=providers);possible-breaking-missing-marker"
"3daff55f36c41d51e8886b7234c7e8d06bcd57bb","3daff55","refactor: extract app shell layout","refactor(webapp): Extract app shell layout","subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=webapp)"
"3db79fd6022dc83af69896becc92d7f714d4c007","3db79fd","chore(ops): add smoke testing, dashboards, and observability hooks","feat(ops): Add smoke testing, dashboards, and observability hooks","docs-claimed-mismatch;code-additions-look-like-feat;subject-not-capitalized;scope-mismatch(scope=ops vs dir=docs);possible-breaking-missing-marker"
"3e667a250db8d817b666b83265db47fce20394cb","3e667a2","feat: add ML training pipeline with CI automation","chore(ml): Add ML training pipeline with CI automation","docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=ml)"
"3e6d094c4c90fa4a6951cd722eed0d74b74b243c","3e6d094","feat: add high-risk approvals, ml governance, and key rotation","feat(services): Add high-risk approvals, ml governance, and key rotation","subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker"
"3e9654f492ff552d409627b159d48a3cffc4efbd","3e9654f","feat(regulator): Phase 7  Regulator Portal & Continuous Monitoring","chore(regulator): Phase 7  Regulator Portal & Continuous Monitoring","docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=regulator vs dir=webapp);possible-breaking-missing-marker"
"3eadee525fd3d3446eca5dbf3cbef3130886143b","3eadee5","refactor(db): improve shared DB client/connection handling","refactor(db)(db): Improve shared DB client/connection handling","subject-not-capitalized;scope-mismatch(scope=db vs dir=shared)"
"3f272cb8eafcb24b53be82342e71b3012ce87b71","3f272cb","chore(api-gateway): update deps/lockfile and align /ready probe tests","chore(api-gateway)(api-gateway): Update deps/lockfile and align /ready p","subject-not-capitalized;scope-mismatch(scope=api-gateway vs dir=services)"
"3f66d54eb4fbd345093dd427e5f4d6de59d1b182","3f66d54","feat(api-gateway): consolidate admin data routes","feat(api-gateway)(api-gateway): Consolidate admin data routes","test-claimed-mismatch;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=api-gateway vs dir=services);possible-breaking-missing-marker"
"401cd518c19c7d4f25303d5a48f96c7f572e8a9b","401cd51","harden org scoping on compliance events","feat(services): Harden org scoping on compliance events","code-additions-look-like-feat;subject-not-capitalized;possible-breaking-missing-marker"
"403a426a088cd29768c73d9970ba564693f3def0","403a426","feat: add ml governance service and risk workflows","chore(services): Add ml governance service and risk workflows","docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=services);possible-breaking-missing-marker"
"40741d2cba75edde4a5489e4e3191a036d5bd6ff","40741d2","feat: scaffold ml-core package and feature pipelines","chore(packages): Scaffold ml-core package and feature pipelines","docs-claimed-mismatch;deps-looks-like-chore;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope= vs dir=packages)"
"4095cda68120cd335ee7e0f3586c781d58197e4b","4095cda","docs(compliance): ASVS/DSP/TFN control map + DPIA + regulator SOPs complete","docs(compliance)(compliance): ASVS/DSP/TFN control map + DPIA + regulato","subject>72;subject-not-capitalized;needs-body(>=150 LOC);scope-mismatch(scope=compliance vs dir=docs)"
"411aca37fd55d4eb8922f384ec1a8ad4b5f71545","411aca3","refactor(shared): add subpath exports and update gateway imports to @apgms/shared/*","chore(shared): Add subpath exports and update gateway imports to @apgms/","deps-looks-like-chore;subject>72;subject-not-capitalized;scope-mismatch(scope=shared vs dir=services);possible-breaking-missing-marker"
"46ae52f9cf123914c5b8fb82843bc344d72975a3","46ae52f","Fix ML service model directory resolution","refactor(services): Fix ML service model directory resolution","code-changes-look-like-refactor"
"46ddc3b202bb6f5ba7101e5e4ca6bd4af3c9a6ce","46ddc3b","docs: outline admin prototype activation plan","docs: Outline admin prototype activation plan","subject-not-capitalized;scope-mismatch(scope= vs dir=docs);possible-breaking-missing-marker"
